"Trieste fish-market landings, from 1902 - 1935.  Extracted from the dataset below.",,
Citation,"National Institute of Oceanography and Experimental Geophysics (OGS); Italian National Institute for Environmental Protection and Research (ISPRA), Italy; (2017): Historical landings from the Trieste (Italy) fish market between 1902 and 1968.",
DATA URL:,https://doi.org/10.14284/291,
,Kilograms (kg) caught,
Year,Sharks (Squalus acanthias),Tuna (Thunnus thynnus and Euthynnus alletteratus)
1902,18025,113467
1903,9220,85928
1904,4117,42718
1905,2806,42738
1906,995,92789
1907,4009,132418
1908,3360,116295
1909,2055,150234
1910,1000,170790
1911,1920,88615
1912,2685,84360
1913,5770,76085
1914,3640,44565
1915,525,29600
1916,380,8490
1917,696,4250
1919,6120,5350
1920,8000,19000
1921,4475,34945
1922,2160,18815
1923,1135,120665
1924,1625,60465
1925,740,39380
1926,1205,42380
1927,1445,43790
1928,1541,77255
1929,1010,74115
1930,725,69765
1931,95,67680
1932,565,136980
1933,395,120995
1934,160,64160
1935,40,55840